container_id,origin_index,ph_statistic,ph_alarm,ph_lambda
c_15420,200,0.0,False,50.0
c_15446,200,0.0,False,50.0
c_15486,200,0.0,False,50.0
c_15527,200,0.0,False,50.0
c_15555,200,0.0,False,50.0
c_15570,200,0.0,False,50.0
c_15604,200,0.0,False,50.0
c_15616,200,0.0,False,50.0
c_15630,200,0.0,False,50.0
c_15640,200,0.0,False,50.0
c_15642,200,0.0,False,50.0
c_15647,200,0.0,False,50.0
c_15794,200,0.0,False,50.0
c_15856,200,0.0,False,50.0
c_16008,200,0.0,False,50.0
c_16048,200,0.0,False,50.0
c_10032,296,0.1268483752595041,False,50.0
c_10034,296,0.1419244497779092,False,50.0
c_10089,296,0.07255870743709958,False,50.0
c_10132,296,0.0918156036390172,False,50.0
c_1016,296,0.0032453182640215274,False,50.0
c_10306,296,0.002279496166734678,False,50.0
c_10312,296,0.004893144863680536,False,50.0
c_10382,296,0.0,False,50.0
c_10393,296,0.5487642151452897,False,50.0
c_10641,296,0.4487138740995468,False,50.0
c_10695,296,0.011448244375877773,False,50.0
c_10733,296,0.073887486980177,False,50.0
c_10878,296,0.036986835549994,False,50.0
c_10898,296,0.021423807090801054,False,50.0
c_11013,296,0.8471098681006114,False,50.0
c_11087,296,1.8318380963715795,False,50.0
c_11203,296,0.9127095769604011,False,50.0
c_11307,296,0.15790023496210226,False,50.0
c_11327,296,0.10530942704935009,False,50.0
c_11461,296,0.0,False,50.0
c_11735,296,0.007906952120231073,False,50.0
c_11752,296,0.04672903789773165,False,50.0
c_1181,296,0.6158644654740203,False,50.0
c_1186,296,0.08347617261193863,False,50.0
c_11996,296,0.4151831598807719,False,50.0
c_12060,296,0.012526384817637574,False,50.0
c_12158,296,0.12046320442960201,False,50.0
c_12164,296,0.1283793478331975,False,50.0
c_12174,296,0.0008637302182209526,False,50.0
c_12189,296,0.03344487248140771,False,50.0
c_12193,296,0.048710775331352325,False,50.0
c_12231,296,0.037380612469358206,False,50.0
c_12237,296,3.3873082624053543,False,50.0
c_12441,296,0.2030239436640987,False,50.0
c_12517,296,1.0511853650043843,False,50.0
c_12624,296,0.01878760793668394,False,50.0
c_12767,296,0.06818727277977787,False,50.0
c_12858,296,0.015971353673840786,False,50.0
c_1286,296,0.02685551077034543,False,50.0
c_12971,296,0.004088986828674317,False,50.0
c_12974,296,0.018272192787223033,False,50.0
c_12993,296,0.6589163952433602,False,50.0
c_12999,296,0.03219919128402882,False,50.0
c_13020,296,0.0406658774640939,False,50.0
c_13044,296,0.0,False,50.0
c_13083,296,0.03826245535620055,False,50.0
c_13166,296,0.4551397659303772,False,50.0
c_13170,296,1.445232033623534,False,50.0
c_13229,296,0.029790738442156853,False,50.0
c_13269,296,0.0009418165910745112,False,50.0
c_13308,296,0.0,False,50.0
c_13389,296,3.0311441221955215,False,50.0
c_13403,296,0.06070828027131742,False,50.0
c_13441,296,0.06386278068178874,False,50.0
c_13607,296,0.08283747578500156,False,50.0
c_13615,296,0.24717587212781067,False,50.0
c_13658,296,0.013797177730244529,False,50.0
c_13690,296,0.048441492067694665,False,50.0
c_1379,296,0.03208426635178919,False,50.0
c_1387,296,0.14670670957668702,False,50.0
c_13873,296,0.0652200315995235,False,50.0
c_14106,296,0.0,False,50.0
c_14135,296,0.004099197731830877,False,50.0
c_14296,296,0.2454823435582355,False,50.0
c_14363,296,0.03859812406993641,False,50.0
c_14388,296,0.16776922874790567,False,50.0
c_14396,296,0.7680348047867532,False,50.0
c_14413,296,0.018855810659525133,False,50.0
c_14416,296,0.0,False,50.0
c_14417,296,0.29638344331206834,False,50.0
c_14435,296,0.2049166989388833,False,50.0
c_14471,296,1.0137211315824084,False,50.0
c_14820,296,0.09187954114788244,False,50.0
c_14855,296,0.08901290075438784,False,50.0
c_14886,296,0.02325079522731233,False,50.0
c_1494,296,0.05311904716029426,False,50.0
c_14964,296,0.21631457098245332,False,50.0
c_15030,296,0.1852873356867092,False,50.0
c_15035,296,0.0,False,50.0
c_15072,296,0.2696551152080723,False,50.0
c_15179,296,0.49416544096377335,False,50.0
c_15235,296,0.29241388125938406,False,50.0
c_15282,296,0.0075265500831096545,False,50.0
c_15420,296,0.06148367893507734,False,50.0
c_15446,296,0.012233747453661573,False,50.0
c_15486,296,0.043739942301941344,False,50.0
c_15527,296,3.7260542312784812,False,50.0
c_15555,296,0.0011525102249544438,False,50.0
c_15570,296,0.047102146595837675,False,50.0
c_15604,296,0.04347156707382322,False,50.0
c_15616,296,0.02900808706745728,False,50.0
c_15630,296,0.3179314377182524,False,50.0
c_15640,296,0.7664287720475603,False,50.0
c_15642,296,0.04060782984596912,False,50.0
c_15647,296,0.19540984017630947,False,50.0
c_15794,296,0.0,False,50.0
c_15856,296,0.005388590207229764,False,50.0
c_16008,296,0.0,False,50.0
c_16048,296,0.13083477691115364,False,50.0
c_10032,392,0.2691204971545178,False,50.0
c_10034,392,0.18577336188066174,False,50.0
c_10089,392,0.11684648445547441,False,50.0
c_10132,392,0.12702222096491933,False,50.0
c_1016,392,0.059806263804621854,False,50.0
c_10306,392,0.009058490088649344,False,50.0
c_10312,392,0.1259101684607733,False,50.0
c_10382,392,0.0510519561841254,False,50.0
c_10393,392,0.7641075098976225,False,50.0
c_10641,392,0.5075162125205402,False,50.0
c_10695,392,0.017876218536382774,False,50.0
c_10733,392,0.1997112254350515,False,50.0
